string_id,context,ko,en,ja,zh-Hans,zh-Hant,es,fr,de,pt-BR,notes,status
common.updated.full_data,meta,2026.06.14 첫 기록,2026.06.14 First record bundle,2026.06.14 最初の記録,2026.06.14 第一份记录,2026.06.14 第一份記錄,2026.06.14 primer registro,2026.06.14 première archive,2026.06.14 erste Aufzeichnung,2026.06.14 primeiro registro,common string,localized_draft
contents.chapter_items,meta,이어지는 기록,Following Records,続く記録,后续记录,後續記錄,Registros siguientes,Archives suivantes,Folgende Aufzeichnungen,Registros seguintes,common string,localized_draft
contents.child_note,meta,이 기록에서 이어지는 이야기들입니다.,These stories continue from this record.,この記録から続く物語です。,这些故事从这条记录继续展开。,這些故事從這筆記錄繼續展開。,Estas historias continúan desde este registro.,Ces histoires continuent depuis cette archive.,Diese Geschichten führen diese Aufzeichnung weiter.,Estas histórias continuam a partir deste registro.,common string,localized_draft
contents.count,meta,{count}개,{count},{count}件,{count} 项,{count} 項,{count},{count},{count},{count},common string,localized_draft
contents.empty,meta,아직 찾은 기록이 없습니다.,No record found yet.,まだ記録が見つかりません。,还没有找到记录。,還沒有找到記錄。,Aún no hay registros.,Aucune archive trouvée pour l’instant.,Noch keine Aufzeichnung gefunden.,Nenhum registro encontrado ainda.,common string,localized_draft
contents.note,meta,"바다의 불빛을 따라가면, 아직 이름 붙지 않은 마음들이 차례로 열립니다.","Follow the lights across the sea, and unnamed feelings open one by one.",海の灯りをたどると、まだ名づけられていない気持ちが順に開きます。,沿着海上的灯光前行，尚未命名的心情会一页页打开。,沿著海上的燈光前行，尚未命名的心情會一頁頁打開。,Sigue las luces del mar y los sentimientos sin nombre se abrirán uno a uno.,"Suis les lumières sur la mer, et les sentiments sans nom s’ouvrent un à un.","Folge den Lichtern über dem Meer, und namenlose Gefühle öffnen sich nacheinander.","Siga as luzes no mar, e sentimentos ainda sem nome se abrem um a um.",common string,localized_draft
contents.search_label,meta,기록 찾기,Find a record,記録を探す,查找记录,尋找記錄,Buscar registro,Chercher une archive,Aufzeichnung suchen,Buscar registro,common string,localized_draft
contents.search_placeholder,meta,"이름, 장소, 마음의 단서","Name, place, or feeling",名前・場所・気持ちの手がかり,名称、地点或心情线索,名稱、地點或心情線索,"Nombre, lugar o emoción","Nom, lieu ou émotion","Name, Ort oder Gefühl","Nome, lugar ou emoção",common string,localized_draft
contents.title,meta,아이동월드 기록,IDONG WORLD Records,アイドンワールド記録,爱动世界记录,愛動世界記錄,Registros de IDONG WORLD,Archives d’IDONG WORLD,IDONG WORLD Aufzeichnungen,Registros de IDONG WORLD,common string,localized_draft
contents.total,meta,{count}개의 기록,{count} records,{count}件の記録,{count} 条记录,{count} 筆記錄,{count} registros,{count} archives,{count} Aufzeichnungen,{count} registros,common string,localized_draft
field.emotion,field,정서,Mood,感情,情绪,情緒,Emoción,Émotion,Stimmung,Emoção,field label,localized_draft
field.image,field,보이는 장면,Scene,図版,图像,圖像,Ilustración,Illustration,Illustration,Ilustração,field label,localized_draft
field.next,field,다음 길,Next path,次のつながり,下一步连接,下一步連結,Siguiente enlace,Lien suivant,Nächste Verbindung,Próxima ligação,field label,localized_draft
field.place,field,장소,Place,場所,地点,地點,Lugar,Lieu,Ort,Lugar,field label,localized_draft
field.role,field,남는 기억,Memory,役割,作用,作用,Función,Rôle,Rolle,Função,field label,localized_draft
language.active,ui,선택됨,Selected,選択中,已选择,已選擇,Seleccionado,Sélectionné,Ausgewählt,Selecionado,common string,localized_draft
language.available,ui,선택 가능,Available,選択可能,可选择,可選擇,Disponible,Disponible,Verfügbar,Disponível,common string,localized_draft
language.current,ui,현재 언어,Current language,現在の言語,当前语言,目前語言,Idioma actual,Langue actuelle,Aktuelle Sprache,Idioma atual,common string,localized_draft
language.detected,ui,브라우저 감지,Browser detected,ブラウザ検出,浏览器检测,瀏覽器偵測,Detectado por navegador,Détecté par le navigateur,Vom Browser erkannt,Detectado pelo navegador,common string,localized_draft
language.note,ui,언어를 고르면 아이동월드의 기록이 그 말로 다시 열립니다.,"Choose a language, and the records of IDONG WORLD open in that voice.",言語を選ぶと、アイドンワールドの記録がその言葉で開きます。,选择语言后，爱动世界的记录会用那种声音打开。,選擇語言後，愛動世界的記錄會用那種聲音打開。,Elige un idioma y los registros de IDONG WORLD se abrirán con esa voz.,"Choisissez une langue, et les archives d’IDONG WORLD s’ouvriront dans cette voix.","Wähle eine Sprache, und die Aufzeichnungen von IDONG WORLD öffnen sich in dieser Stimme.","Escolha um idioma, e os registros de IDONG WORLD se abrirão nessa voz.",common string,localized_draft
language.title,ui,언어 설정,Language Settings,言語設定,语言设置,語言設定,Configuración de idioma,Paramètres de langue,Spracheinstellungen,Configurações de idioma,common string,localized_draft
nav.back,ui,돌아가기,Back,戻る,返回,返回,Volver,Retour,Zurück,Voltar,common string,localized_draft
nav.contents,ui,전체 목차,Contents,目次,目录,目錄,Índice,Sommaire,Inhalt,Sumário,common string,localized_draft
nav.home,ui,홈,Home,ホーム,首页,首頁,Inicio,Accueil,Start,Início,common string,localized_draft
nav.language,ui,언어 설정,Language,言語,语言,語言,Idioma,Langue,Sprache,Idioma,common string,localized_draft
nav.next,ui,다음 항목,Next,次の項目,下一项,下一項,Siguiente,Suivant,Nächster Eintrag,Próximo,common string,localized_draft
nav.no_next,ui,마지막 항목,Last Item,最後の項目,最后一项,最後一項,Último elemento,Dernier élément,Letzter Eintrag,Último item,common string,localized_draft
nav.no_previous,ui,첫 항목,First Item,最初の項目,第一项,第一項,Primer elemento,Premier élément,Erster Eintrag,Primeiro item,common string,localized_draft
nav.parent,ui,상위 목록,Parent List,上位一覧,上级列表,上層列表,Lista superior,Liste parente,Übergeordnete Liste,Lista superior,common string,localized_draft
nav.previous,ui,이전 항목,Previous,前の項目,上一项,上一項,Anterior,Précédent,Vorheriger Eintrag,Anterior,common string,localized_draft
related.page,ui,기록,Record,記録,记录,記錄,Registro,Archive,Eintrag,Registro,common string,localized_draft
related.term,ui,말,Term,言葉,词语,詞語,Término,Terme,Begriff,Termo,common string,localized_draft
related.title,ui,이어지는 기록,Related Records,つながる記録,相关记录,相關記錄,Registros relacionados,Archives liées,Verbundene Aufzeichnungen,Registros relacionados,common string,localized_draft
s00.label,section,표지,Cover,表紙,封面,封面,Portada,Couverture,Titel,Capa,section label,localized_draft
s00.title,section,표지와 사용법,Cover and Guide,表紙と読み方,封面与阅读方式,封面與閱讀方式,Portada y guía,Couverture et guide,Titel und Anleitung,Capa e guia,section title,localized_draft
s01.label,section,1장,Chapter 1,第1章,第1章,第1章,Capítulo 1,Chapitre 1,Kapitel 1,Capítulo 1,section label,localized_draft
s01.title,section,회색섬에서 하트섬으로,From Gray Island to Heart Island,灰色の島からハート島へ,从灰色岛到心岛,從灰色島到心島,De la isla gris a la isla corazón,De l'île grise à l'île cœur,Von der grauen Insel zur Herzinsel,Da ilha cinza à ilha-coração,section title,localized_draft
s02.label,section,2장,Chapter 2,第2章,第2章,第2章,Capítulo 2,Chapitre 2,Kapitel 2,Capítulo 2,section label,localized_draft
s02.title,section,아이동이란 무엇인가,What Is an Aidong?,アイドンとは何か,什么是爱动,什麼是愛動,Qué es un Aidong,Qu'est-ce qu'un Aidong,Was ist ein Aidong?,O que é um Aidong,section title,localized_draft
s03.label,section,3장,Chapter 3,第3章,第3章,第3章,Capítulo 3,Chapitre 3,Kapitel 3,Capítulo 3,section label,localized_draft
s03.title,section,마이섬 지도,Map of My Island,マイ島の地図,我的岛地图,我的島地圖,Mapa de Mi Isla,Carte de Mon Île,Karte meiner Insel,Mapa da Minha Ilha,section title,localized_draft
s04.label,section,4장,Chapter 4,第4章,第4章,第4章,Capítulo 4,Chapitre 4,Kapitel 4,Capítulo 4,section label,localized_draft
s04.title,section,숙소와 하루,The Lodge and the Day,宿所と一日,宿舍与一天,宿舍與一天,La residencia y el día,Le logement et la journée,Unterkunft und Tageslauf,A hospedaria e o dia,section title,localized_draft
s05.label,section,5장,Chapter 5,第5章,第5章,第5章,Capítulo 5,Chapitre 5,Kapitel 5,Capítulo 5,section label,localized_draft
s05.title,section,항해와 아이동섬,Voyage and Aidong Islands,航海とアイドン島,航海与爱动岛,航海與愛動島,Viaje e islas Aidong,Voyage et îles Aidong,Seereise und Aidong-Inseln,Viagem e ilhas Aidong,section title,localized_draft
s06.label,section,6장,Chapter 6,第6章,第6章,第6章,Capítulo 6,Chapitre 6,Kapitel 6,Capítulo 6,section label,localized_draft
s06.title,section,도감템과 성장,Codex Items and Growth,図鑑アイテムと成長,图鉴物与成长,圖鑑物與成長,Objetos de códice y crecimiento,Objets de codex et croissance,Kodexobjekte und Wachstum,Itens de códice e crescimento,section title,localized_draft
s07.label,section,7장,Chapter 7,第7章,第7章,第7章,Capítulo 7,Chapitre 7,Kapitel 7,Capítulo 7,section label,localized_draft
s07.title,section,기록과 공유,Records and Sharing,記録と共有,记录与分享,記錄與分享,Registros y compartir,Archives et partage,Aufzeichnungen und Teilen,Registros e compartilhamento,section title,localized_draft
