item_id,web_name,category,tags,aidong_tags,object_name,ipa,description
ICON-0001,발자국,아이돌,소장템,온기승환토끼|등대여우|호리범|소프트냥|스텝범|단정멍|온기릴라|호흡수달|온기여우|잠만코알라|런웨이사막여우|막내카리스냥,발자국,paldʑaɡuk,"마룻바닥에 남은 흙빛 자국 하나. 한참을 서성이다, 결국 한 발 더 내디딘 사람이 있었구나. 발자국이 새기는 건 머문 시간이 아니라, 떠나기로 마음먹은 그 한순간이다."
ICON-0002,등불,생활,소장템,옥빛냥 초기 지급용|갭댄스멍|고음리더여우|또렷막내토끼|샤인멍|토끼|단정범|포근청량돼지|범얼룩|꿀거북|잠만코알라|또렷초점냥|막내카리스냥,등불,tɯŋbul,"심지에 불이 닿으면, 어둠이 한 뼘씩 조용히 물러난다. 손끝 데우는 작은 온기에 옛사람들은 소원을 적어 띄웠다지. 등불은 밝히려고가 아니라, 곁에 있어 주려고 켜는 것."
ICON-0003,리본,문구,소장템,정석냥|항해리트리버|푸들스텝|소프트냥|연기다람|리더폭스|작은손천사햄|글로우토끼|햇살토끼|글로우여우|발도장냥|환영멍,리본,ɾibon,"매듭 하나에 마음이 곱게 포장된다. 보내는 손은 풀기 쉽게, 받는 손은 천천히 풀고 싶게. 리본이 묶어 두는 건 상자가 아니라, 건네기 직전 두근거리던 그 설렘이다."
ICON-0004,편지함,문구,소장템,솔라햄찌|센터실루냥|수호등토끼|모티프멍|위트토끼|숨결늑대|노블코알라|리더늑대|치즈깃냥|별꼬리|우사네코냥,편지함,pʰjʌndʑiham,"빨간 입을 벌린 채 골목 어귀에 서 있다. 손편지가 귀해진 시절에도, 이 작은 함은 누군가의 안부를 끝까지 기다린다. 텅 비는 순간에 가장 환해지는, 다정한 그릇."
ICON-0005,개인섬미니맵,야외,소장템,시크리듬냥|별꼬리여우|푸들스텝|수호등토끼|모티프멍|스파크범|세이노루|별빛멍|모티프여우|포근양|첫빛삐약|쭈프늑대,개인섬미니맵,kɛinsʌmminimɛp,"접으면 주머니 속, 펼치면 바다와 능선이 나란히 누운 종이 한 장. 처음 닿는 이에겐 모든 모퉁이가 아직 열어 보지 않은 약속이다. 펴는 순간, 작은 섬도 너른 세계가 된다."
ICON-0006,마이크,공연,소장템,승환리트리버|빛받침곰|모티프돼지|지후쿼카|호흡너굴|보컬삐약|젤리퓨마|막내호랑|모티프여우|메인보컬늑대|노블멍|햄일햄찌,마이크,maikʰɯ,"첫 음을 내기 직전, 숨을 고르는 반 박자. 객석의 눈빛이 내 한마디를 기다린다는 걸 알면 손끝이 떨려 온다. 마이크는 소리를 키우는 게 아니라, 그 떨림을 끝까지 데려다주는 일이다."
ICON-0007,시계,생활,소장템,황제멍|패션냥|갈기라이트사자|호흡여우|스텝범|스누피멍|무대개굴|범얼룩|온기냥|고음사슴|런웨이여우|멜로꼬리멍,시계,siɡje,"초침은 쉬지 않지만, 누구도 너를 재촉하진 않아. 데뷔까지 몇 밤, 무대까지 몇 분—숫자판 위에선 기다림과 설렘이 같은 속도로 돈다. 시간을 보는 일은, 마음을 다독이는 일."
ICON-0008,노트,자원|문구,소장템|문서|노트|종이,정석냥|숨결등대멍|안부토끼|정현댕|숨결냥|샤인곰|코지범|하이톤늑대|온기중심멍|말티왕자멍|또렷초점냥|우사네코냥,노트,notʰɯ,"빈칸이 가장 많은 물건. 안무 동선도, 새벽의 다짐도, 끝내 못 부친 말도 여기 쌓인다. 펼치는 순간, 어제의 내가 오늘의 나에게 가만히 말을 건넨다."
ICON-0009,도장,문구,소장템,하모니라마|누룽상어|리더곰|사슴왕자|샤인수달|콩알소원멍|온기릴라|둥글펭|리더토끼|샤인노루|런웨이토끼|모티프치타,도장,todʑaŋ,"붉은 인주를 머금고 꾹 한 번 누르면, 약속이 또렷이 새겨진다. 글씨보다 무겁고 말보다 분명한 흔적. 문서의 끝마다 사람들은 이름 대신, 이 작은 도장에 마음을 맡겼다."
ICON-0010,받침,공예시설,소장템|받침,막내삐약|렌즈멍|호흡멍|사슴왕자|비트토끼|리더렉스|산적섹시|숨토끼|리더코알라|치즈깃냥|모카잔|폭스라마,받침,pattɕʰim,"제 몸을 한껏 낮춰 다른 것을 떠받친다. 위에 놓인 것이 흔들리지 않도록, 가장 아래에서 묵묵히 버티는 자리. 빛나지 않아도, 무너지지 않게 하는 다정이 여기 있다."
